Wave,TAU_spectr_S,TAU_spectr_P,TAU_spectrpol,TAU_spectr,dichro_RHO,coat_Rs,coat_Rp,coat_R,echelle_Rs,echelle_Rp,echelle_R,CD_Rs,CD_Rp,CD_R,dDOPED_QE,R_percent,EFF,Read Noise,Sky,Dark,BEF,Disp_Width,XDisp_Width
252.3,0.13237,0.088901,0.084016,0.1153,0.81174,0.92589,0.92589,0.92589,0.70097,0.5868,0.66213,0.49042,0.39345,0.45223,0.59764,0.87938,0.1153,0.0,0.0,5e-06,5.65e-20,3.1,3.1
252.5,0.13586,0.091745,0.086394,0.11856,0.80978,0.92589,0.92589,0.92589,0.68896,0.57614,0.6506,0.51528,0.4161,0.47617,0.5954,0.8795,0.11856,0.0,0.0,5e-06,5.65e-20,3.1,3.1
252.7,0.14632,0.099934,0.093404,0.12817,0.80782,0.92589,0.92589,0.92589,0.67248,0.5617,0.63483,0.57203,0.46775,0.5308,0.59321,0.87962,0.12817,0.0,0.0,5e-06,5.65e-20,3.1,3.1
252.9,0.14505,0.10008,0.092933,0.12751,0.80585,0.92589,0.92589,0.92589,0.63059,0.52583,0.59501,0.60843,0.50344,0.56686,0.59106,0.87974,0.12751,0.0,0.0,5e-06,5.65e-20,3.1,3.1
253.1,0.14282,0.09938,0.091787,0.12594,0.80479,0.92589,0.92589,0.92589,0.5887,0.48996,0.55518,0.64482,0.53913,0.60292,0.58896,0.87986,0.12594,0.0,0.0,5e-06,5.65e-20,3.1,3.1
253.3,0.13073,0.090661,0.083935,0.11516,0.80463,0.92589,0.92589,0.92589,0.54681,0.45408,0.51536,0.63777,0.53263,0.59609,0.58693,0.87998,0.11516,0.0,0.0,5e-06,5.65e-20,3.1,3.1
253.5,0.11895,0.082187,0.076295,0.10467,0.80447,0.92589,0.92589,0.92589,0.50492,0.41821,0.47554,0.63071,0.52612,0.58926,0.58496,0.8801,0.10467,0.0,0.0,5e-06,5.65e-20,3.1,3.1
253.7,0.10749,0.073954,0.068862,0.094465,0.80431,0.92589,0.92589,0.92589,0.46304,0.38234,0.43572,0.62366,0.51962,0.58242,0.58307,0.88022,0.094465,0.0,0.0,5e-06,5.65e-20,3.1,3.1
253.9,0.095882,0.065741,0.061364,0.084174,0.80414,0.9259,0.9259,0.9259,0.41912,0.34532,0.39416,0.61661,0.51312,0.57559,0.58126,0.88034,0.084174,0.0,0.0,5e-06,5.65e-20,3.1,3.1
254.1,0.084372,0.057685,0.053954,0.074005,0.80484,0.9259,0.9259,0.9259,0.37386,0.30755,0.35145,0.60955,0.50662,0.56876,0.57953,0.88046,0.074005,0.0,0.0,5e-06,5.65e-20,3.1,3.1
254.3,0.073234,0.049906,0.046788,0.064173,0.80639,0.9259,0.9259,0.9259,0.3286,0.26977,0.30873,0.6025,0.50011,0.56193,0.57791,0.88058,0.064173,0.0,0.0,5e-06,5.65e-20,3.1,3.1
254.5,0.062363,0.042329,0.039798,0.054582,0.80794,0.9259,0.9259,0.9259,0.28334,0.23199,0.26601,0.59545,0.49361,0.5551,0.57638,0.8807,0.054582,0.0,0.0,5e-06,5.65e-20,3.1,3.1
254.7,0.051752,0.034951,0.03298,0.045229,0.80949,0.9259,0.9259,0.9259,0.23808,0.19422,0.2233,0.58839,0.48711,0.54826,0.57496,0.88082,0.045229,0.0,0.0,5e-06,5.65e-20,3.1,3.1
